Date,Price,Open,High,Low,Vol.,Change,Price_log
2020-07-25,9704.1,9704.1,9704.1,9704.1,306290,1.65,9.180303756
2020-07-26,9932.5,9932.5,9932.5,9932.5,415070,2.35,9.203567488
2020-07-27,11022.8,11022.8,11022.8,11022.8,908990,10.98,9.307721134
2020-07-28,10908.5,10908.5,10908.5,10908.5,658370,-1.04,9.297297581
2020-07-29,11105.9,11105.9,11105.9,11105.9,576830,1.81,9.315231778
2020-07-30,11096.2,11096.2,11096.2,11096.2,501140,-0.09,9.314357986
2020-07-31,11333.4,11333.4,11333.4,11333.4,530950,2.14,9.335509397
2020-08-01,11803.1,11803.1,11803.1,11803.1,611470,4.14,9.376117488
2020-08-02,11066.8,11066.8,11066.8,11066.8,647950,-6.24,9.311704914
2020-08-03,11224.4,11224.4,11224.4,11224.4,470240,1.42,9.325845259
2020-08-04,11184.7,11184.7,11184.7,11184.7,485790,-0.35,9.322302052
2020-08-05,11735.1,11735.1,11735.1,11735.1,570830,4.92,9.37033963
2020-08-06,11757.1,11757.1,11757.1,11757.1,554850,0.19,9.372212592
2020-08-07,11592,11592,11592,11592,517000,-1.4,9.358070484
2020-08-08,11764.3,11764.3,11764.3,11764.3,317060,1.49,9.372824801
2020-08-09,11681.2,11681.2,11681.2,11681.2,303000,-0.71,9.365735991
2020-08-10,11889.2,11889.2,11889.2,11889.2,564110,1.78,9.383385704
2020-08-11,11390.4,11390.4,11390.4,11390.4,615900,-4.19,9.340526174
2020-08-12,11557.2,11557.2,11557.2,11557.2,549590,1.46,9.355063898
2020-08-13,11770.9,11770.9,11770.9,11770.9,545670,1.85,9.373385663
2020-08-14,11750.8,11750.8,11750.8,11750.8,435440,-0.17,9.371676602
2020-08-15,11845.3,11845.3,11845.3,11845.3,499100,0.8,9.379686443
2020-08-16,11899,11899,11899,11899,410810,0.45,9.384209642
2020-08-17,12282.6,12282.6,12282.6,12282.6,628410,3.22,9.415938906
2020-08-18,11947.6,11947.6,11947.6,11947.6,606790,-2.73,9.3882857
2020-08-19,11750.2,11750.2,11750.2,11750.2,550260,-1.65,9.371625541
2020-08-20,11856.9,11856.9,11856.9,11856.9,430930,0.91,9.380665256
2020-08-21,11529.2,11529.2,11529.2,11529.2,506380,-2.76,9.352638227
2020-08-22,11661.3,11661.3,11661.3,11661.3,433980,1.15,9.364030946
2020-08-23,11641.6,11641.6,11641.6,11641.6,377330,-0.17,9.362340169
2020-08-24,11753.5,11753.5,11753.5,11753.5,429130,0.96,9.371906348
2020-08-25,11324.8,11324.8,11324.8,11324.8,594070,-3.65,9.33475029
2020-08-26,11462.3,11462.3,11462.3,11462.3,513060,1.21,9.346818668
2020-08-27,11327.4,11327.4,11327.4,11327.4,560590,-1.18,9.334979848
2020-08-28,11527.4,11527.4,11527.4,11527.4,464940,1.77,9.352482089
2020-08-29,11468.1,11468.1,11468.1,11468.1,389850,-0.51,9.347324547
2020-08-30,11702,11702,11702,11702,409360,2.04,9.367515046
2020-08-31,11644.2,11644.2,11644.2,11644.2,496140,-0.49,9.362563481
2020-09-01,11914.9,11914.9,11914.9,11914.9,580690,2.32,9.385544997
2020-09-02,11413.3,11413.3,11413.3,11413.3,20260000,-4.21,9.342534621
2020-09-03,10168.8,10168.8,10168.8,10168.8,9650000,-10.9,9.227079488
2020-09-04,10472.5,10472.5,10472.5,10472.5,12500000,2.99,9.256508053
2020-09-05,10092.2,10092.2,10092.2,10092.2,14720000,-3.63,9.219518127
2020-09-06,10296.4,10296.4,10296.4,10296.4,12120000,2.02,9.239549599
2020-09-07,10376.9,10376.9,10376.9,10376.9,12400000,0.78,9.247337461
2020-09-08,10126.6,10126.6,10126.6,10126.6,113900,-2.41,9.222920904
2020-09-09,10224.6,10224.6,10224.6,10224.6,71370,0.97,9.23255186
2020-09-10,10339.7,10339.7,10339.7,10339.7,88010,1.13,9.243746134
2020-09-11,10390.2,10390.2,10390.2,10390.2,62280,0.49,9.248618333
2020-09-12,10441.9,10441.9,10441.9,10441.9,48490,0.5,9.253581837
2020-09-13,10326,10326,10326,10326,66120,-1.11,9.242420265
2020-09-14,10675.3,10675.3,10675.3,10675.3,96640,3.38,9.275687941
2020-09-15,10785.3,10785.3,10785.3,10785.3,91700,1.03,9.285939375
2020-09-16,10949.5,10949.5,10949.5,10949.5,94940,1.52,9.301049072
2020-09-17,10941.3,10941.3,10941.3,10941.3,77220,-0.07,9.300299899
2020-09-18,10933,10933,10933,10933,63480,-0.08,9.299541017
2020-09-19,11081.8,11081.8,11081.8,11081.8,51630,1.36,9.313059402
2020-09-20,10921.5,10921.5,10921.5,10921.5,53390,-1.45,9.298488603
2020-09-21,10416.8,10416.8,10416.8,10416.8,109850,-4.62,9.251175166
2020-09-22,10531.5,10531.5,10531.5,10531.5,63520,1.1,9.262126045
2020-09-23,10237.3,10237.3,10237.3,10237.3,74950,-2.79,9.233793192
2020-09-24,10739.4,10739.4,10739.4,10739.4,82950,4.9,9.281674501
2020-09-25,10688.8,10688.8,10688.8,10688.8,71430,-0.47,9.276951743
2020-09-26,10727.9,10727.9,10727.9,10727.9,37850,0.37,9.280603104
2020-09-27,10776.2,10776.2,10776.2,10776.2,40920,0.45,9.285095278
2020-09-28,10693.2,10693.2,10693.2,10693.2,72290,-0.77,9.277363304
2020-09-29,10840.9,10840.9,10840.9,10840.9,59640,1.38,9.291081297
2020-09-30,10776.1,10776.1,10776.1,10776.1,55550,-0.6,9.285085998
2020-10-01,10620.5,10620.5,10620.5,10620.5,95330,-1.44,9.270541375
2020-10-02,10572.3,10572.3,10572.3,10572.3,77940,-0.45,9.265992652
2020-10-03,10544.2,10544.2,10544.2,10544.2,29100,-0.27,9.263331225
2020-10-04,10672.9,10672.9,10672.9,10672.9,31400,1.22,9.275463097
2020-10-05,10789.5,10789.5,10789.5,10789.5,48860,1.09,9.286328718
2020-10-06,10602.6,10602.6,10602.6,10602.6,69070,-1.73,9.268854533
2020-10-07,10670.9,10670.9,10670.9,10670.9,49270,0.64,9.275275689
2020-10-08,10924.1,10924.1,10924.1,10924.1,79780,2.37,9.298726637
2020-10-09,11054.2,11054.2,11054.2,11054.2,70950,1.19,9.310565725
2020-10-10,11298.4,11298.4,11298.4,11298.4,65810,2.21,9.332416402
2020-10-11,11371,11371,11371,11371,41060,0.64,9.338821534
2020-10-12,11533.9,11533.9,11533.9,11533.9,84020,1.43,9.353045804
2020-10-13,11423.8,11423.8,11423.8,11423.8,64670,-0.95,9.343454177
2020-10-14,11420.4,11420.4,11420.4,11420.4,59120,-0.03,9.343156509
2020-10-15,11503,11503,11503,11503,70840,0.72,9.35036315
2020-10-16,11322,11322,11322,11322,71420,-1.57,9.334503015
2020-10-17,11362.1,11362.1,11362.1,11362.1,29860,0.35,9.338038534
2020-10-18,11506.9,11506.9,11506.9,11506.9,31510,1.27,9.350702134
2020-10-19,11753.4,11753.4,11753.4,11753.4,73040,2.14,9.371897839
2020-10-20,11913.5,11913.5,11913.5,11913.5,94590,1.36,9.38542749
2020-10-21,12808.7,12808.7,12808.7,12808.7,197720,7.51,9.457879907
2020-10-22,12974.6,12974.6,12974.6,12974.6,113310,1.3,9.470748879
2020-10-23,12934.1,12934.1,12934.1,12934.1,73940,-0.31,9.467622514
2020-10-24,13117.2,13117.2,13117.2,13117.2,51200,1.42,9.481679625
2020-10-25,13032.2,13032.2,13032.2,13032.2,59730,-0.65,9.475178497
2020-10-26,13061.6,13061.6,13061.6,13061.6,89470,0.23,9.477431907
2020-10-27,13657.8,13657.8,13657.8,13657.8,128640,4.56,9.522066066
2020-10-28,13278.9,13278.9,13278.9,13278.9,144180,-2.77,9.493931588
2020-10-29,13457.2,13457.2,13457.2,13457.2,111230,1.34,9.507269558
2020-10-30,13559.9,13559.9,13559.9,13559.9,108770,0.76,9.514872187
2020-10-31,13797.3,13797.3,13797.3,13797.3,102750,1.75,9.5322282
2020-11-01,13759.4,13759.4,13759.4,13759.4,51710,-0.27,9.529477506
2020-11-02,13561.4,13561.4,13561.4,13561.4,97760,-1.44,9.514982801
2020-11-03,14019.9,14019.9,14019.9,14019.9,108170,3.38,9.548233028
2020-11-04,14145.6,14145.6,14145.6,14145.6,140800,0.9,9.557158901
2020-11-05,15587.1,15587.1,15587.1,15587.1,227490,10.19,9.654198928
2020-11-06,15577.9,15577.9,15577.9,15577.9,186130,-0.06,9.653608522
2020-11-07,14828.4,14828.4,14828.4,14828.4,160730,-4.81,9.60429954
2020-11-08,15483.7,15483.7,15483.7,15483.7,94990,4.42,9.647543137
2020-11-09,15327.2,15327.2,15327.2,15327.2,165040,-1.01,9.637384307
2020-11-10,15303.6,15303.6,15303.6,15303.6,93360,-0.15,9.635843374
2020-11-11,15695.8,15695.8,15695.8,15695.8,119070,2.56,9.66114844
2020-11-12,16294.7,16294.7,16294.7,16294.7,165540,3.82,9.698595181
2020-11-13,16324.2,16324.2,16324.2,16324.2,113750,0.18,9.700403948
2020-11-14,16071,16071,16071,16071,83640,-1.55,9.684771685
2020-11-15,15953,15953,15953,15953,58430,-0.73,9.677402178
2020-11-16,16715.8,16715.8,16715.8,16715.8,118090,4.78,9.724109659
2020-11-17,17662.3,17662.3,17662.3,17662.3,175870,5.66,9.779187704
2020-11-18,17774.6,17774.6,17774.6,17774.6,233430,0.64,9.785525751
2020-11-19,17803.5,17803.5,17803.5,17803.5,135940,0.16,9.787150346
2020-11-20,18675.2,18675.2,18675.2,18675.2,134420,4.9,9.834951719
2020-11-21,18687.2,18687.2,18687.2,18687.2,108910,0.06,9.835594076
2020-11-22,18412.9,18412.9,18412.9,18412.9,121760,-1.47,9.820806785
2020-11-23,18379.6,18379.6,18379.6,18379.6,127350,-0.18,9.818996633
2020-11-24,19152.6,19152.6,19152.6,19152.6,180790,4.21,9.860193756
2020-11-25,18723,18723,18723,18723,146120,-2.24,9.837507994
2020-11-26,17162,17162,17162,17162,312070,-8.34,9.750452916
2020-11-27,17127.1,17127.1,17127.1,17127.1,138800,-0.2,9.748417283
2020-11-28,17730.7,17730.7,17730.7,17730.7,95200,3.52,9.783052879
2020-11-29,18185.5,18185.5,18185.5,18185.5,79120,2.57,9.808379852
2020-11-30,19698.1,19698.1,19698.1,19698.1,185590,8.32,9.888277463
2020-12-01,18770.7,18770.7,18770.7,18770.7,208720,-4.71,9.840052422
2020-12-02,19218.8,19218.8,19218.8,19218.8,91920,2.39,9.863644246
2020-12-03,19433.3,19433.3,19433.3,19433.3,99970,1.12,9.874743368
2020-12-04,18658.1,18658.1,18658.1,18658.1,110630,-3.99,9.834035647
2020-12-05,19146.5,19146.5,19146.5,19146.5,59440,2.62,9.85987521
2020-12-06,19379.9,19379.9,19379.9,19379.9,54560,1.22,9.871991725
2020-12-07,19170.7,19170.7,19170.7,19170.7,61980,-1.08,9.861138351
2020-12-08,18326.6,18326.6,18326.6,18326.6,101410,-4.4,9.816108835
2020-12-09,18546,18546,18546,18546,129720,1.2,9.828009411
2020-12-10,18247.2,18247.2,18247.2,18247.2,85310,-1.61,9.811766923
2020-12-11,18023.6,18023.6,18023.6,18023.6,111530,-1.23,9.799437289
2020-12-12,18808.9,18808.9,18808.9,18808.9,71370,4.36,9.842085441
2020-12-13,19176.8,19176.8,19176.8,19176.8,82450,1.96,9.861456494
2020-12-14,19273.8,19273.8,19273.8,19273.8,67110,0.51,9.86650194
